UK	2635167
UAE	290557
Viet Nam	1562822
United Kingdom of Great Britain and Northern Ireland	2635167
Mongolia	2029969
Hong Kong	1819727
Hong Kong, China	1819727
Ireland	2963597
Guam	4043988
